"","text","size"
"samsung","samsung",233
"galaxy","galaxy",148
"best","best",68
"unlocked","unlocked",55
"factory","factory",54
"gold","gold",51
"notegb","notegb",51
"price","price",40
"ive","ive",39
"specs","specs",30
"say","say",29
"metallic","metallic",28
"missed","missed",28
"mixgalaxysconceptsamsungsamsunggalaxyrender","mixgalaxysconceptsamsungsamsunggalaxyrender",28
"render","render",28
"make","make",27
"blackrose","blackrose",26
"smartphone","smartphone",25
"whiterose","whiterose",25
"apple","apple",22
"android","android",20
"note","note",20
"like","like",19
"quite","quite",19
"since","since",18
"stock","stock",18
"touchwiz","touchwiz",18
"deal","deal",17
"company","company",15
"get","get",15
"tech","tech",14
"unroot","unroot",12
"love","love",11
"lowest","lowest",11
"stand","stand",11
"amazon","amazon",10
"device","device",10
"inch","inch",10
"lollipop","lollipop",10
"many","many",10
"seems","seems",10
"sure","sure",10
"vendors","vendors",10
"world","world",10
"actually","actually",9
"already","already",9
"although","although",9
"androidsamsunglollipopsamsungknightsnexusfanboys","androidsamsunglollipopsamsungknightsnexusfanboys",9
"androidthanks","androidthanks",9
"call","call",9
"called","called",9
"cant","cant",9
"cartoonish","cartoonish",9
"childish","childish",9
"companies","companies",9
"creation","creation",9
"deals","deals",9
"dell","dell",9
"demand","demand",9
"difficult","difficult",9
"done","done",9
"drooling","drooling",9
"dunno","dunno",9
"earlyif","earlyif",9
"examplethe","examplethe",9
"fanatics","fanatics",9
"flawless","flawless",9
"fond","fond",9
"found","found",9
"friends","friends",9
"getting","getting",9
"god","god",9
"googles","googles",9
"hands","hands",9
"hardware","hardware",9
"haters","haters",9
"havent","havent",9
"hello","hello",9
"high","high",9
"hitech","hitech",9
"however","however",9
"hypocritesi","hypocritesi",9
"insecure","insecure",9
"keep","keep",9
"knightquot","knightquot",9
"knows","knows",9
"lateto","lateto",9
"liking","liking",9
"littered","littered",9
"mean","mean",9
"next","next",9
"nexusfanboys","nexusfanboys",9
"nobrainer","nobrainer",9
"noteis","noteis",9
"odd","odd",9
"personally","personally",9
"professional","professional",9
"prosamsung","prosamsung",9
"quickly","quickly",9
"quotsamsung","quotsamsung",9
"reason","reason",9
"repair","repair",9
"retailers","retailers",9
"richest","richest",9
"running","running",9
"software","software",9
"somehow","somehow",9
"someone","someone",9
"sophisticated","sophisticated",9
"stated","stated",9
"stores","stores",9
"thanks","thanks",9
"theyd","theyd",9
"theyre","theyre",9
"though","though",9
"thought","thought",9
"topof","topof",9
"understands","understands",9
"upset","upset",9
"used","used",9
"version","version",9
"winner","winner",9
"without","without",9
"yet","yet",9
"can","can",8
"ebay","ebay",8
"htc","htc",8
"read","read",8
"daily","daily",7
"facing","facing",7
"xiaomi","xiaomi",7
"year","year",7
"gear","gear",6
"new","new",6
"nexus","nexus",6
"now","now",6
"qhd","qhd",6
"review","review",6
"sony","sony",6
"bigguns","bigguns",5
"competition","competition",5
"consumer","consumer",5
